Years;Month;Max Temperature;Min Temperature;Precipitation;Wind;Relative Humidity;Solar
1979;January;0,31;-7,25;1,7;2,6;0,73;8,7
1979;February;1,93;-4,59;1,71;2,5;0,75;10,64
1979;March;4,31;-2,33;4,06;2,45;0,74;14,03
1979;April;9,82;2,69;9,59;3,36;0,93;12,96
1979;May;12,63;4,24;6,63;2,83;0,76;19,9
1979;June;21,08;9,97;2,38;3,34;0,54;25,14
1979;July;25,71;10,3;0,04;4,27;0,46;29,46
1979;August;23,47;12,5;2,46;3,15;0,47;24,51
1979;September;19,36;9,11;0,42;3,43;0,34;20,77
1979;October;14,77;7,48;1,66;2,95;0,53;12,8
1979;November;5,95;-1,69;1,26;2,52;0,58;11,12
1979;December;2,95;-2,42;0,94;2,54;0,61;7,51
1980;January;-1,06;-7,52;1,59;2,49;0,7;8,75
1980;February;-1,14;-7,31;3,38;2,2;0,81;10,55
1980;March;4,01;-2,8;3,96;2,51;0,82;13,73
1980;April;12,07;2,48;4,72;3,54;0,82;18,2
1980;May;14,1;4,14;7,07;3,78;0,87;20,67
1980;June;21,98;7,21;1,63;3,9;0,67;27,24
1980;July;26,48;13,41;0,98;3,55;0,4;29,21
1980;August;23,45;13,2;2,02;3,17;0,44;24,13
1980;September;19,24;10,06;2,18;3,06;0,44;19,69
1980;October;10,17;2,63;2,64;3,13;0,78;11,62
1980;November;7,45;1,93;5,1;2,82;0,73;7,67
1980;December;3,53;-2,07;0,78;2,69;0,65;7,77
1981;January;0,41;-4,69;2,55;2,46;0,7;7,4
1981;February;1,49;-3,54;4,13;2,4;0,73;9,26
1981;March;7,55;0,6;3,6;2,71;0,73;13,29
1981;April;11,86;3,93;6,38;3,04;0,73;16
1981;May;18,26;9,1;4,94;2,9;0,62;22,79
1981;June;19,85;8,6;5,83;3,25;0,64;23,84
1981;July;23,73;13,23;3,15;3,14;0,51;27,76
1981;August;21,69;12,29;3,59;2,98;0,52;22,83
1981;September;18,68;9,26;1,53;3,13;0,46;18,49
1981;October;9,36;1,59;3,27;2,56;0,73;12,8
1981;November;6,25;-0,13;2,28;2,64;0,62;9,81
1981;December;2,25;-3,3;0,88;2,51;0,59;7,83
1982;January;0,27;-6,41;1,13;2,8;0,75;8,2
1982;February;-0,29;-7,22;2,24;2,69;0,7;10,94
1982;March;4,32;-1,94;5,09;2,53;0,76;12,65
1982;April;13,49;4,19;5,84;2,75;0,68;19,05
1982;May;18,75;7,71;2,21;3,29;0,49;26,06
1982;June;22,54;11,65;2,14;3,45;0,41;26,97
1982;July;24,63;13,76;1,17;3,3;0,41;26,25
1982;August;23,67;12,96;1,17;3,17;0,4;23,37
1982;September;16,99;8,1;3,18;2,88;0,54;16,43
1982;October;11,31;3,98;5,08;2,57;0,68;11,24
1982;November;2,54;-3,48;2,72;2,11;0,74;8,48
1982;December;0,45;-5,79;0,69;2,52;0,65;8,07
1983;January;-0,09;-6,8;1,92;2,74;0,78;8,44
1983;February;1,54;-5,24;1,65;2,69;0,79;11,96
1983;March;3,54;-2,75;4,45;2,72;0,77;13,33
1983;April;9,96;2,74;9,91;2,72;0,86;14,66
1983;May;17,16;7,98;5,21;3,33;0,62;21,79
1983;June;21,33;11,14;3,39;3,39;0,48;27,47
1983;July;25,7;14,28;2,26;3,5;0,4;28,22
1983;August;26,21;15,15;1,19;3,24;0,39;24,13
1983;September;18,46;16,64;0;2,56;0,37;0,15
1983;October;12,16;3,67;1;2,86;0,49;14,41
1983;November;8,12;1,12;2,17;2,99;0,59;8,2
1983;December;0,74;-5,66;1,49;2,45;0,69;7,99
1984;January;-3,11;-10,85;1,02;2,69;0,82;9,06
1984;February;-6;-15,46;3,15;2,37;0,9;10,82
1984;March;2,91;-2,64;4,02;2,9;0,94;11,48
1984;April;10,63;3,26;6,83;2,95;0,76;18,36
1984;May;14,76;5,41;7,23;2,97;0,79;21,46
1984;June;23,26;12,13;0,98;3,48;0,43;28,58
1984;July;27,19;15,81;0,3;3,52;0,33;29,35
1984;August;27,81;15,68;0;3,33;0,31;26,92
1984;September;17,7;8,63;2,6;2,98;0,48;17,98
1984;October;11,13;3;1,39;2,9;0,59;13,06
1984;November;5,67;0,23;4,35;2,66;0,67;7,64
1984;December;-5,58;-14,29;2,04;2,72;0,87;8,04
1985;January;-1,47;-9,48;1,47;3,18;0,87;8,41
1985;February;3,01;-3,75;2,23;3,26;0,69;11,47
1985;March;3,32;-3,78;3,73;2,54;0,81;14,11
1985;April;13,38;3;3,29;3,2;0,73;19,34
1985;May;16,66;7,38;6,14;3,22;0,58;21,61
1985;June;23,14;11,51;2,23;3,64;0,41;28,75
1985;July;26,37;14,75;1,26;3,46;0,35;28,58
1985;August;23,07;12,4;0,44;3,21;0,41;24,79
1985;September;20,79;9,74;0,18;3,31;0,37;20,92
1985;October;11,83;3,83;2,13;2,88;0,55;11,87
1985;November;5,37;-1,51;0,89;2,7;0,56;9,84
1985;December;1;-5,04;2,15;2,54;0,72;7,22
1986;January;0,47;-5,69;0,76;3;0,57;9,37
1986;February;1,83;-4,95;1,03;2,66;0,71;12,08
1986;March;2,46;-4,56;3,56;2,63;0,71;12,94
1986;April;11,95;3,07;3,68;2,79;0,62;18,61
1986;May;17,39;7,8;3,18;3,27;0,5;23,13
1986;June;21,57;11,55;2,33;3,26;0,43;24,32
1986;July;25,76;14,06;0,26;3,39;0,33;28,04
1986;August;24,19;12,53;0,4;3,4;0,34;24,88
1986;September;20,97;10,01;0,91;3,27;0,35;20,1
1986;October;13;4,86;2,44;2,79;0,56;13,76
1986;November;4,61;-1,73;2,72;2,28;0,68;8,14
1986;December;-0,54;-6;2,83;2,58;0,73;6,52
1987;January;2,37;-3,82;0,92;3,01;0,57;8,77
1987;February;3,2;-3,64;3,27;2,76;0,71;10,27
1987;March;7,92;1,44;4,74;2,73;0,69;13,13
1987;April;10,6;2,92;6,4;2,79;0,7;15,45
1987;May;17,28;7,33;3,17;3,34;0,5;25,71
1987;June;20,19;10,36;3,76;3,28;0,49;24,85
1987;July;21,94;11,26;7,19;2,83;0,58;23,68
1987;August;25,09;13,64;1,39;3,33;0,45;23,64
1987;September;19,46;9,53;0,91;3,24;0,45;18,55
1987;October;7,72;1,03;5,17;2,44;0,74;10,28
1987;November;4,36;-1,34;1,49;3,66;0,8;9,14
1987;December;3,21;-3,13;1,78;3,49;0,81;6,64
1988;January;0,22;-6,26;1,85;2,45;0,8;8,31
1988;February;1,27;-5,05;2,32;2,44;0,79;11,54
1988;March;3,98;-2,33;5,24;2,5;0,82;12,19
1988;April;12,27;4,35;5,77;2,91;0,78;17,69
1988;May;14,24;6,24;11,06;2,74;0,74;17,74
1988;June;22,53;11,55;4,29;3,33;0,53;27,49
1988;July;25,26;14,42;2,29;3,26;0,47;23,28
1988;August;23,52;13,09;0,62;3,18;0,44;24,08
1988;September;18,92;8,63;0,91;3,11;0,52;19,74
1988;October;10,85;3,11;3,04;2,64;0,64;12,78
1988;November;9,92;3,2;1,46;2,84;0,55;9,32
1988;December;4,58;-0,95;2,14;2,58;0,61;7,2
